name,value,year,lastvalue,rank
Alabama,2,1892,0,1
Alabama,2,1893,2,1
Alabama,5,1894,2,1
Alabama,5,1895,5,1
Alabama,7,1896,5,1
Alabama,8,1897,7,1
Alabama,11,1899,8,1
Alabama,13,1900,11,1
Alabama,15,1901,13,1
Alabama,19,1902,15,1
Alabama,22,1903,19,1
Alabama,29,1904,22,1
Alabama,35,1905,29,1
Alabama,40,1906,35,1
Alabama,45,1907,40,1
Alabama,51,1908,45,1
Alabama,56,1909,51,1
Alabama,60,1910,56,1
Alabama,65,1911,60,1
Alabama,70,1912,65,1
Alabama,76,1913,70,1
Alabama,81,1914,76,1
Alabama,87,1915,81,1
Alabama,93,1916,87,1
Alabama,98,1917,93,1
Alabama,106,1919,98,1
Alabama,116,1920,106,1
Alabama,121,1921,116,1
Alabama,127,1922,121,1
Alabama,134,1923,127,1
Alabama,142,1924,134,1
Alabama,152,1925,142,1
Alabama,161,1926,152,1
Alabama,166,1927,161,1
Alabama,172,1928,166,1
Alabama,178,1929,172,1
Alabama,188,1930,178,1
Alabama,197,1931,188,1
Alabama,205,1932,197,1
Alabama,212,1933,205,1
Alabama,222,1934,212,1
Alabama,228,1935,222,1
Alabama,236,1936,228,1
Alabama,245,1937,236,1
Alabama,252,1938,245,1
Alabama,257,1939,252,1
Alabama,264,1940,257,1
Alabama,273,1941,264,1
Alabama,281,1942,273,1
Alabama,286,1944,281,1
Alabama,296,1945,286,1
Alabama,303,1946,296,1
Alabama,311,1947,303,1
Alabama,317,1948,311,1
Alabama,323,1949,317,1
Alabama,332,1950,323,1
Alabama,337,1951,332,1
Alabama,347,1952,337,1
Alabama,353,1953,347,1
Alabama,357,1954,353,1
Alabama,357,1955,357,1
Alabama,359,1956,357,1
Alabama,361,1957,359,1
Alabama,366,1958,361,1
Alabama,373,1959,366,1
Alabama,381,1960,373,1
Alabama,392,1961,381,1
Alabama,402,1962,392,1
Alabama,411,1963,402,1
Alabama,421,1964,411,1
Alabama,430,1965,421,1
Alabama,441,1966,430,1
Alabama,449,1967,441,1
Alabama,457,1968,449,1
Alabama,463,1969,457,1
Alabama,469,1970,463,1
Alabama,480,1971,469,1
Alabama,490,1972,480,1
Alabama,501,1973,490,1
Alabama,512,1974,501,1
Alabama,523,1975,512,1
Alabama,532,1976,523,1
Alabama,543,1977,532,1
Alabama,554,1978,543,1
Alabama,566,1979,554,1
Alabama,576,1980,566,1
Alabama,585,1981,576,1
Alabama,593,1982,585,1
Alabama,601,1983,593,1
Alabama,606,1984,601,1
Alabama,615,1985,606,1
Alabama,625,1986,615,1
Alabama,632,1987,625,1
Alabama,641,1988,632,1
Alabama,651,1989,641,1
Alabama,658,1990,651,1
Alabama,669,1991,658,1
Alabama,682,1992,669,1
Alabama,683,1993,682,1
Alabama,695,1994,683,1
Alabama,703,1995,695,1
Alabama,713,1996,703,1
Alabama,717,1997,713,1
Alabama,724,1998,717,1
Alabama,734,1999,724,1
Alabama,737,2000,734,1
Alabama,744,2001,737,1
Alabama,754,2002,744,1
Alabama,758,2003,754,1
Alabama,764,2004,758,1
Alabama,764,2005,764,1
Alabama,764,2006,764,1
Alabama,766,2007,764,1
Alabama,778,2008,766,1
Alabama,792,2009,778,1
Alabama,802,2010,792,1
Alabama,814,2011,802,1
Alabama,827,2012,814,1
Alabama,838,2013,827,1
Alabama,850,2014,838,1
Alabama,864,2015,850,1
Alabama,878,2016,864,1
Alabama,891,2017,878,1
Alabama,905,2018,891,1
